21.05345,105.781761,05:48:23,44
21.052582,105.781731,05:48:32,41
21.051773,105.781677,05:48:39,37
21.051043,105.781639,05:48:47,35
21.050364,105.781555,05:48:55,30
21.04982,105.781479,05:49:03,27
21.049215,105.781433,05:49:11,31
21.048531,105.78141,05:49:19,36
21.047739,105.781364,05:49:27,37
21.047167,105.781296,05:49:35,25
21.04681,105.781281,05:49:43,7
21.046667,105.78125,05:49:59,5
21.046478,105.781242,05:50:07,10
21.046165,105.781242,05:50:15,20
21.045675,105.781235,05:50:23,28
21.045017,105.781181,05:50:31,32
21.044275,105.781143,05:50:39,38
21.043533,105.781067,05:50:47,31
21.042923,105.781036,05:50:55,26
21.042366,105.781013,05:51:03,25
21.041893,105.780998,05:51:11,16
21.041552,105.780975,05:51:19,20
21.040939,105.780937,05:51:27,35
21.040085,105.780937,05:51:35,47
21.039127,105.780891,05:51:43,58
21.037739,105.780769,05:51:51,65
21.036585,105.780602,05:51:59,54
21.035568,105.780449,05:52:07,50
21.034561,105.780266,05:52:15,51
21.033588,105.780083,05:52:23,44
21.032797,105.779892,05:52:31,40
21.031891,105.779701,05:52:39,48
21.031094,105.77951,05:52:47,40
21.030352,105.779366,05:52:55,35
21.029669,105.779251,05:53:03,37
21.028971,105.779152,05:53:11,37
21.028454,105.778984,05:53:19,25
21.02821,105.778786,05:53:27,9
21.028187,105.778572,05:53:35,10
21.027872,105.778465,05:53:43,17
21.027758,105.778427,05:53:47,10
21.027708,105.77845,05:53:49,9
21.027658,105.778496,05:54:04,5
21.02763,105.778549,05:55:09,2
21.027628,105.778549,05:55:10,2
21.027615,105.778633,05:55:24,3
21.027554,105.778755,05:55:29,12
21.027369,105.778793,05:55:34,17
21.027124,105.77877,05:55:39,22
21.026596,105.778687,05:55:47,29
21.025869,105.778587,05:55:55,42
21.024986,105.778465,05:56:03,44
21.024157,105.778465,05:56:11,38
21.02351,105.778549,05:56:19,27
21.022945,105.778595,05:56:27,23
21.022894,105.778603,05:56:28,23
21.02284,105.77861,05:56:30,12
21.02276,105.778641,05:56:39,9
21.022562,105.778709,05:56:44,17
21.022293,105.778793,05:56:49,24
21.021872,105.778961,05:56:57,16
21.021708,105.779053,05:57:05,12
21.021818,105.779213,05:57:13,15
21.022463,105.779106,05:57:21,29
